id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
596225,81,BlockedShot,68.69999694824219,70.5,0.030101027339696884,Raphinha,a,8026,DirectFreekick,2024,LeftFoot,27064,Alaves,Barcelona,0,3,2024-10-06 14:15:00,,Standard
597925,38,MissedShots,80.69999694824219,63.70000076293946,0.02658221870660782,Raphinha,h,8026,FromCorner,2024,LeftFoot,27074,Barcelona,Sevilla,5,1,2024-10-20 19:00:00,,None
597931,49,MissedShots,85.0,39.0,0.09722393751144409,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27074,Barcelona,Sevilla,5,1,2024-10-20 19:00:00,Lamine Yamal,Pass
598702,20,MissedShots,80.5999984741211,50.70000076293945,0.045674487948417664,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27085,Real Madrid,Barcelona,0,4,2024-10-26 19:00:00,Lamine Yamal,Pass
598711,54,MissedShots,61.5,92.5999984741211,0.008269025944173336,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27085,Real Madrid,Barcelona,0,4,2024-10-26 19:00:00,,BallRecovery
598723,83,Goal,88.0999984741211,45.099998474121094,0.43100622296333313,Raphinha,a,8026,OpenPlay,2024,RightFoot,27085,Real Madrid,Barcelona,0,4,2024-10-26 19:00:00,Iñigo Martínez,Throughball
600720,22,Goal,87.0999984741211,49.900001525878906,0.3085829019546509,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27101,Barcelona,Espanyol,3,1,2024-11-03 15:15:00,Marc Casadó,Chipped
602359,43,BlockedShot,73.0999984741211,54.599998474121094,0.01929355040192604,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27108,Real Sociedad,Barcelona,1,0,2024-11-10 20:00:00,Frenkie de Jong,Pass
603208,11,BlockedShot,84.69999694824219,38.900001525878906,0.06578757613897324,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27117,Celta Vigo,Barcelona,2,2,2024-11-23 20:00:00,Robert Lewandowski,Pass
603209,14,Goal,88.4000015258789,43.099998474121094,0.3110570013523102,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27117,Celta Vigo,Barcelona,2,2,2024-11-23 20:00:00,Jules Koundé,TakeOn
603213,21,SavedShot,81.19999694824219,50.0999984741211,0.07322020828723907,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27117,Celta Vigo,Barcelona,2,2,2024-11-23 20:00:00,Robert Lewandowski,BallTouch
603219,58,MissedShots,78.80000305175781,38.599998474121094,0.039633121341466904,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27117,Celta Vigo,Barcelona,2,2,2024-11-23 20:00:00,Pedri,Pass
603224,76,ShotOnPost,91.19999694824219,37.0,0.2946988046169281,Raphinha,a,8026,OpenPlay,2024,RightFoot,27117,Celta Vigo,Barcelona,2,2,2024-11-23 20:00:00,Dani Olmo,Pass
603936,46,ShotOnPost,87.5,45.400001525878906,0.18012391030788422,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27122,Barcelona,Las Palmas,1,2,2024-11-30 13:00:00,Gavi,TakeOn
603943,60,Goal,78.0999984741211,43.70000076293945,0.02748619206249714,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27122,Barcelona,Las Palmas,1,2,2024-11-30 13:00:00,Pedri,Pass
603947,70,SavedShot,81.5999984741211,47.5,0.05994019657373428,Raphinha,h,8026,OpenPlay,2024,RightFoot,27122,Barcelona,Las Palmas,1,2,2024-11-30 13:00:00,Robert Lewandowski,Pass
603950,81,SavedShot,77.4000015258789,36.29999923706055,0.07646674662828445,Raphinha,h,8026,DirectFreekick,2024,LeftFoot,27122,Barcelona,Las Palmas,1,2,2024-11-30 13:00:00,,Standard
603951,84,BlockedShot,77.0,29.799999237060547,0.05843237414956093,Raphinha,h,8026,DirectFreekick,2024,LeftFoot,27122,Barcelona,Las Palmas,1,2,2024-11-30 13:00:00,,Standard
605130,46,SavedShot,87.80000305175781,47.0,0.5501202344894409,Raphinha,a,8026,OpenPlay,2024,RightFoot,27167,Mallorca,Barcelona,1,5,2024-12-03 18:00:00,,BallRecovery
605134,52,SavedShot,80.30000305175781,46.29999923706055,0.1366877257823944,Raphinha,a,8026,DirectFreekick,2024,LeftFoot,27167,Mallorca,Barcelona,1,5,2024-12-03 18:00:00,,Standard
605135,55,Goal,88.5,50.0,0.7432776093482971,Raphinha,a,8026,Penalty,2024,LeftFoot,27167,Mallorca,Barcelona,1,5,2024-12-03 18:00:00,,Standard
605140,73,Goal,92.9000015258789,47.599998474121094,0.46206894516944885,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27167,Mallorca,Barcelona,1,5,2024-12-03 18:00:00,Lamine Yamal,Cross
605907,42,BlockedShot,90.5999984741211,57.799999237060554,0.0668526142835617,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27139,Real Betis,Barcelona,2,2,2024-12-07 15:15:00,,Aerial
607840,32,SavedShot,89.9000015258789,59.599998474121094,0.07175928354263306,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27143,Barcelona,Leganes,0,1,2024-12-15 20:00:00,Álex Balde,Cross
607847,47,BlockedShot,79.5999984741211,59.70000076293945,0.034872427582740784,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27143,Barcelona,Leganes,0,1,2024-12-15 20:00:00,Robert Lewandowski,BallTouch
607854,83,BlockedShot,84.4000015258789,34.0,0.0389864519238472,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27143,Barcelona,Leganes,0,1,2024-12-15 20:00:00,Pau Victor,Pass
607860,94,MissedShots,78.9000015258789,60.599998474121094,0.09875495731830597,Raphinha,h,8026,DirectFreekick,2024,LeftFoot,27143,Barcelona,Leganes,0,1,2024-12-15 20:00:00,,Standard
608559,3,BlockedShot,89.5,34.0,0.07978769391775131,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27160,Barcelona,Atletico Madrid,1,2,2024-12-21 20:00:00,Gavi,Pass
608564,42,BlockedShot,80.30000305175781,34.900001525878906,0.036254603415727615,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27160,Barcelona,Atletico Madrid,1,2,2024-12-21 20:00:00,Jules Koundé,Pass
608569,56,ShotOnPost,80.9000015258789,37.400001525878906,0.4341290593147278,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27160,Barcelona,Atletico Madrid,1,2,2024-12-21 20:00:00,Pedri,Throughball
608576,80,BlockedShot,73.5999984741211,45.099998474121094,0.01664021797478199,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27160,Barcelona,Atletico Madrid,1,2,2024-12-21 20:00:00,Robert Lewandowski,HeadPass
608580,85,SavedShot,95.0999984741211,32.79999923706055,0.24353818595409393,Raphinha,h,8026,OpenPlay,2024,RightFoot,27160,Barcelona,Atletico Madrid,1,2,2024-12-21 20:00:00,Pedri,Pass
612514,32,MissedShots,97.30000305175781,57.599998474121094,0.3726375102996826,Raphinha,a,8026,OpenPlay,2024,Head,27177,Getafe,Barcelona,1,1,2025-01-18 20:00:00,Jules Koundé,Chipped
612523,58,BlockedShot,78.80000305175781,68.30000305175781,0.024138469249010086,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27177,Getafe,Barcelona,1,1,2025-01-18 20:00:00,,BallTouch
612525,60,BlockedShot,93.69999694824219,71.80000305175781,0.03886706009507179,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27177,Getafe,Barcelona,1,1,2025-01-18 20:00:00,Pau Cubarsí,Pass
612529,76,BlockedShot,78.19999694824219,64.30000305175781,0.08119232207536697,Raphinha,a,8026,DirectFreekick,2024,LeftFoot,27177,Getafe,Barcelona,1,1,2025-01-18 20:00:00,,Standard
