id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
532694,15,SavedShot,79.9000015258789,27.100000381469723,0.0659250020980835,Raphinha,a,8026,DirectFreekick,2023,LeftFoot,22692,Getafe,Barcelona,0,0,2023-08-13 19:30:00,,Standard
532697,35,SavedShot,94.4000015258789,31.600000381469727,0.27899545431137085,Raphinha,a,8026,OpenPlay,2023,LeftFoot,22692,Getafe,Barcelona,0,0,2023-08-13 19:30:00,Jules Koundé,Chipped
537981,64,BlockedShot,85.5,33.099998474121094,0.06718011945486069,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22726,Barcelona,Real Betis,5,0,2023-09-16 19:00:00,Robert Lewandowski,Pass
537982,65,Goal,78.5999984741211,54.29999923706055,0.05223242565989494,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22726,Barcelona,Real Betis,5,0,2023-09-16 19:00:00,Robert Lewandowski,Pass
537985,72,MissedShots,73.19999694824219,47.099998474121094,0.059859804809093475,Raphinha,h,8026,DirectFreekick,2023,LeftFoot,22726,Barcelona,Real Betis,5,0,2023-09-16 19:00:00,,Standard
537989,85,SavedShot,86.19999694824219,37.5,0.08915890753269196,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22726,Barcelona,Real Betis,5,0,2023-09-16 19:00:00,Ilkay Gündogan,BallTouch
540200,18,BlockedShot,80.4000015258789,41.599998474121094,0.0513811931014061,Raphinha,a,8026,OpenPlay,2023,LeftFoot,22749,Mallorca,Barcelona,2,2,2023-09-26 19:30:00,Gavi,TakeOn
540203,40,Goal,77.30000305175781,40.70000076293945,0.025155527517199516,Raphinha,a,8026,OpenPlay,2023,LeftFoot,22749,Mallorca,Barcelona,2,2,2023-09-26 19:30:00,,BlockedPass
540204,44,MissedShots,81.30000305175781,52.20000076293946,0.2857448160648346,Raphinha,a,8026,OpenPlay,2023,LeftFoot,22749,Mallorca,Barcelona,2,2,2023-09-26 19:30:00,Ferrán Torres,Chipped
540739,33,SavedShot,88.19999694824219,37.5,0.3311730623245239,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22757,Barcelona,Sevilla,1,0,2023-09-29 19:00:00,João Cancelo,Throughball
545531,85,SavedShot,88.19999694824219,40.400001525878906,0.08581344038248062,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Lamine Yamal,Rebound
545534,95,BlockedShot,81.0999984741211,44.29999923706055,0.045407265424728394,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,,Rebound
547154,74,MissedShots,75.9000015258789,64.9000015258789,0.0635322779417038,Raphinha,a,8026,DirectFreekick,2023,LeftFoot,22800,Real Sociedad,Barcelona,0,1,2023-11-04 20:00:00,,Standard
549030,74,MissedShots,77.19999694824219,47.599998474121094,0.027988823130726814,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22814,Barcelona,Alaves,2,1,2023-11-12 15:15:00,,None
549487,75,ShotOnPost,77.30000305175781,26.600000381469723,0.018459700047969818,Raphinha,a,8026,OpenPlay,2023,LeftFoot,22822,Rayo Vallecano,Barcelona,1,1,2023-11-25 13:00:00,Fermín López,Pass
552072,0,MissedShots,95.80000305175781,38.599998474121094,0.3920922577381134,Raphinha,h,8026,OpenPlay,2023,RightFoot,22830,Barcelona,Atletico Madrid,1,0,2023-12-03 20:00:00,Pedri,TakeOn
552083,57,ShotOnPost,80.80000305175781,54.900001525878906,0.0830020159482956,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22830,Barcelona,Atletico Madrid,1,0,2023-12-03 20:00:00,Pedri,TakeOn
553813,4,MissedShots,92.0,62.4000015258789,0.027584625408053398,Raphinha,h,8026,FromCorner,2023,Head,22835,Barcelona,Girona,2,4,2023-12-10 20:00:00,Ilkay Gündogan,Cross
553818,17,SavedShot,96.9000015258789,48.79999923706055,0.6541234850883484,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22835,Barcelona,Girona,2,4,2023-12-10 20:00:00,João Cancelo,Cross
553820,20,MissedShots,86.4000015258789,30.5,0.04052015766501427,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22835,Barcelona,Girona,2,4,2023-12-10 20:00:00,Pedri,Pass
553826,38,SavedShot,73.4000015258789,54.0,0.021653074771165848,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22835,Barcelona,Girona,2,4,2023-12-10 20:00:00,Ilkay Gündogan,Pass
553830,48,MissedShots,92.69999694824219,60.599998474121094,0.04551832750439644,Raphinha,h,8026,FromCorner,2023,Head,22835,Barcelona,Girona,2,4,2023-12-10 20:00:00,Ilkay Gündogan,Cross
